rank,n,w,h,d,k,t,sig_bytes,mean_ms,median_ms,min_ms,max_ms,stdev_ms,sk_bytes,pk_bytes
1,16,4,6,3,6,8,0,2.14734,2.138,2.1293,2.1733,0.018098,64,32
2,16,4,6,3,6,32,0,2.22786,2.2141,2.1952,2.2766,0.035947,64,32
3,16,4,6,3,6,16,0,2.23908,2.2329,2.1954,2.2902,0.037774,64,32
4,16,4,6,3,4,32,0,2.24012,2.1983,2.1363,2.4399,0.120898,64,32
5,16,4,6,3,8,16,0,2.27018,2.2266,2.2041,2.4035,0.086224,64,32
6,16,4,6,3,4,8,0,2.30748,2.2758,2.2037,2.4391,0.106764,64,32
7,16,4,6,3,8,8,0,2.33658,2.2893,2.279,2.5045,0.095277,64,32
8,16,4,6,3,8,32,0,2.371,2.3325,2.2001,2.6603,0.18284,64,32
9,16,4,6,3,4,16,0,2.43302,2.3108,2.1424,2.8874,0.321516,64,32
10,16,4,6,2,4,8,0,4.0405,3.9027,3.8555,4.3593,0.23072,64,32
11,16,4,6,2,6,32,0,4.05788,4.0444,3.8583,4.2853,0.156072,64,32
12,16,4,6,2,6,16,0,4.19024,4.1503,4.0803,4.3899,0.124209,64,32
13,16,4,6,2,4,16,0,4.22634,4.2431,4.1633,4.2525,0.036657,64,32
14,16,4,6,2,8,8,0,4.37198,4.373,4.2813,4.4685,0.088027,64,32
15,16,4,6,2,6,8,0,4.4395,4.3986,4.39,4.5651,0.073821,64,32
16,16,4,6,2,8,16,0,4.48124,4.4433,4.411,4.5826,0.072114,64,32
17,16,4,6,2,4,32,0,4.48126,4.3676,4.2609,4.7251,0.223738,64,32
18,16,4,6,2,8,32,0,4.53066,4.4858,4.394,4.6967,0.124622,64,32
19,16,16,6,3,4,16,0,4.97264,4.7967,3.5886,6.4584,1.138602,64,32
20,16,16,6,3,6,16,0,4.99964,4.5112,4.2426,7.0452,1.157411,64,32
21,16,16,6,3,6,32,0,5.72604,5.5926,4.6265,7.6197,1.162017,64,32
22,16,16,6,3,4,32,0,6.57728,6.4253,5.3819,8.2294,1.028751,64,32
23,16,16,6,3,4,8,0,6.59042,6.6816,5.5437,7.6498,0.900211,64,32
24,16,16,6,3,8,16,0,7.7796,7.5018,4.3934,10.4807,2.283394,64,32
25,16,16,6,3,8,32,0,8.2124,8.0786,5.4877,10.7492,1.886672,64,32
26,16,16,6,3,6,8,0,8.6512,9.9066,4.0344,12.2775,3.246219,64,32
27,16,16,6,3,8,8,0,8.87518,9.6354,5.8391,11.0155,2.316792,64,32
28,16,16,6,2,8,8,0,10.74314,10.5539,8.6126,14.0951,2.125134,64,32
29,16,16,6,2,6,8,0,11.05994,10.3087,9.0891,13.8985,2.12897,64,32
30,16,16,6,2,4,32,0,11.26554,10.0676,7.8652,17.1323,3.564294,64,32
31,16,64,6,3,6,8,0,11.3391,11.192,11.024,11.7641,0.332159,64,32
32,16,64,6,3,6,16,0,11.37546,11.4343,10.7938,11.9183,0.40873,64,32
33,16,16,6,2,4,16,0,11.38746,11.4531,7.3685,16.0748,3.947546,64,32
34,16,64,6,3,6,32,0,11.39852,11.6009,10.5774,12.2298,0.710581,64,32
35,16,64,6,3,8,32,0,11.47678,11.4199,11.169,11.7613,0.225457,64,32
36,16,64,6,3,8,8,0,11.5786,11.3281,11.0385,12.488,0.57597,64,32
37,16,64,6,3,4,16,0,11.65814,11.3009,10.924,13.4748,1.028374,64,32
38,16,64,6,3,4,32,0,11.74104,11.4377,11.357,12.8254,0.62098,64,32
39,16,64,6,3,4,8,0,11.90602,11.9275,11.5525,12.1859,0.251248,64,32
40,16,64,6,3,8,16,0,12.06932,12.0842,11.4332,12.7327,0.604014,64,32
41,16,16,6,2,4,8,0,12.45816,10.1417,7.6217,17.8428,4.493067,64,32
42,16,16,6,2,8,16,0,12.4624,9.1601,8.1093,25.2727,7.252616,64,32
43,16,4,12,3,4,16,0,12.7619,9.0064,8.1994,19.391,5.710834,64,32
44,16,4,12,3,4,32,0,13.06156,12.5275,8.3637,19.0718,3.856027,64,32
45,16,4,12,3,4,8,0,13.49428,13.9248,8.705,16.4974,3.142562,64,32
46,16,16,6,2,6,16,0,13.94534,14.6064,10.6951,16.7121,2.366382,64,32
47,16,16,6,2,6,32,0,13.95902,11.8959,7.8393,25.8462,7.349365,64,32
48,16,4,12,3,6,32,0,14.44072,10.12,8.9997,22.0387,6.691119,64,32
49,16,4,12,3,6,8,0,15.26486,13.9349,10.9222,21.578,4.527143,64,32
50,16,4,12,3,8,8,0,15.2709,9.5509,8.2377,27.3903,8.908482,64,32
51,16,16,6,2,8,32,0,15.54728,14.769,12.1838,19.7836,3.357471,64,32
52,16,4,12,3,8,16,0,16.75514,19.5944,9.989,21.9732,5.316609,64,32
53,16,4,10,2,8,32,0,16.84058,16.8678,16.405,17.0744,0.268553,64,32
54,16,4,10,2,6,8,0,16.8583,16.7605,15.9643,18.2829,0.877221,64,32
55,16,4,12,3,6,16,0,17.17656,17.0876,7.8007,25.3503,7.295868,64,32
56,16,4,10,2,4,8,0,17.45152,17.5839,16.5563,18.3493,0.740868,64,32
57,16,4,10,2,4,16,0,17.61844,17.6543,17.1316,18.0978,0.388103,64,32
58,16,4,10,2,8,16,0,18.25238,18.5206,17.1292,19.6636,1.01661,64,32
59,16,4,10,2,4,32,0,18.43814,18.4182,18.1269,18.8126,0.26043,64,32
60,16,4,10,2,8,8,0,18.57802,18.1778,17.1386,20.1631,1.236748,64,32
61,16,4,10,2,6,32,0,18.66154,18.4181,18.1846,19.2097,0.460689,64,32
